Dataset,Seed,n_classes,total_eps,flat_LR_bal_acc,flat_LR_auprc,flat_LR_MIA,flat_LR_MIA_rf,flat_LR_AIA,flat_RF_bal_acc,flat_RF_MIA_rf,dpgbc_bal_acc,dpgbc_mlp_bal_acc,dpgbc_MIA,dpgbc_MIA_rf,dpgbc_AIA,boundary_rate,MIA_positive_control,dplc_bal_acc,dplc_auprc,dplc_MIA,dplc_MIA_rf,dplc_mean_radius,class_collapse
BloodTransfusion,42,2,3.0,0.4936647173489279,0.7826562909604586,0.5278308901635861,0.3769619715317612,0.062222222222222234,0.5214424951267056,0.3769619715317612,0.5,0.5872319688109162,0.48273635011684723,0.5232887189292543,-0.11555555555555563,0.875,0.5648311026131294,0.4985380116959064,0.7429157550462895,0.5193499043977055,0.5232887189292543,0.7958863665290794,0
BloodTransfusion,123,2,3.0,0.5029239766081871,0.8343595297764281,0.48803484172509026,0.16465264499681323,0.3466666666666666,0.5,0.16465264499681323,0.5,0.4770955165692008,0.4901805821117484,0.5243977055449331,-0.36,0.8,0.5448778415126407,0.49707602339181284,0.7485276493882926,0.5002889313787975,0.5243977055449331,0.8122564548886404,0
BloodTransfusion,456,2,3.0,0.49025341130604283,0.7705250761995417,0.504720628850648,0.5817633312088379,-0.004444444444444473,0.5735867446393762,0.5817633312088379,0.5,0.5419103313840156,0.49971956660293176,0.5031867431485022,0.026666666666666616,0.6,0.6012364563416189,0.5389863547758285,0.8462764588788083,0.5517314637773529,0.5031867431485022,0.8025038736873842,0
BloodTransfusion,789,2,3.0,0.3996101364522417,0.6426589909366559,0.507202039515615,0.2947100063734863,0.17777777777777776,0.5297270955165692,0.2947100063734863,0.5194931773879142,0.5224171539961013,0.4920458891013384,0.46900786063309957,-0.6266666666666667,1.0,0.5215806246016571,0.5,0.7597791048211551,0.5115785001062247,0.46900786063309957,0.8736217105782386,0
BloodTransfusion,101,2,3.0,0.49171539961013644,0.7930199703182834,0.4542341193966433,0.3179307414489059,0.0444444444444444,0.5092592592592593,0.3179307414489059,0.4619883040935672,0.5346003898635477,0.48843424686636927,0.47688973868706175,-0.4666666666666667,0.625,0.5706649670703208,0.5155945419103314,0.8100093478370811,0.4865519439133206,0.47688973868706175,0.8383885425238284,0
MAGIC04,42,2,3.0,0.5043860183481768,0.3801550864873198,0.5005501322751323,0.22634444444444446,-0.002777777777777768,0.48536369432701015,0.22634444444444446,0.7055783655583847,0.7101938376442208,0.5028943121693121,0.5005498677248678,-0.6361111111111111,0.7142857142857143,0.6731196428571428,0.7158692641641995,0.6642975794545015,0.4971968253968254,0.5005498677248678,1.4137182451596277,0
MAGIC04,123,2,3.0,0.5,0.5336054253393447,0.4997236772486773,0.38942777777777776,0.01055555555555554,0.5248825318697028,0.38942777777777776,0.7294720127356977,0.749154270073141,0.5028619708994709,0.4889585978835979,-0.6188888888888888,0.75,0.6865365740740741,0.7381201850249963,0.6737122850703241,0.49994007936507934,0.4889585978835979,1.4109954435139453,0
MAGIC04,456,2,3.0,0.598462050788468,0.5674207235280233,0.4951722883597883,0.22458716931216932,-0.05833333333333335,0.49665159988141505,0.22458716931216932,0.6765169328736136,0.7007598370675406,0.507461574074074,0.5083083333333334,-0.07166666666666666,1.0,0.6849063492063492,0.7096110657618473,0.7190191910488405,0.5003968915343915,0.5083083333333334,1.4180679289376608,0
MAGIC04,789,2,3.0,0.5201086757879604,0.544518505452918,0.5050621693121693,0.05577817460317461,0.0427777777777778,0.5038824384637565,0.05577817460317461,0.6905643749720798,0.49897659571875874,0.5114849867724868,0.5053897486772486,-0.1988888888888889,0.875,0.6781394841269841,0.743251420379553,0.6914901916129526,0.507928835978836,0.5053897486772486,1.3970305821416076,0
MAGIC04,101,2,3.0,0.517269947245946,0.5331676882095091,0.5105142857142857,0.2461771164021164,0.01611111111111113,0.5116473153912694,0.2461771164021164,0.7259408618526054,0.7110771330060064,0.5079568121693121,0.5009702380952381,-0.7772222222222223,0.875,0.6752749338624339,0.7217761749858875,0.664962739848531,0.5098731481481482,0.5009702380952381,1.4221058750041506,0
