TOTAL_EPS,Dataset,Seed,util_gap,mia_gap,class_collapse,dplc_util_gap,dplc_mia_gap
0.5,BreastCancer,42,0.09017231308411211,-0.29637955861177234,0,0.32221086448598135,-0.29637955861177234
0.5,BreastCancer,123,0.2532126168224299,-0.3678333186399835,0,0.32199182242990654,-0.3678333186399835
0.5,BreastCancer,456,0.31563960280373826,-0.4554203767374886,0,0.2421875,-0.4554203767374886
0.5,BreastCancer,789,0.0043808411214952825,-0.4190984160568926,0,-0.0767377336448598,-0.4190984160568926
0.5,BreastCancer,101,0.23970502336448596,-0.0782714743307178,0,0.06381425233644855,-0.0782714743307178
0.5,PimaDiabetes,42,-0.1728395061728395,-0.03438212935419638,0,-0.06308641975308649,-0.03438212935419638
0.5,PimaDiabetes,123,-0.0038271604938271975,-0.026473836529702477,0,0.07753086419753091,-0.026473836529702477
0.5,PimaDiabetes,456,0.2753086419753086,-0.06562835054455163,0,0.2577777777777778,-0.06562835054455163
0.5,PimaDiabetes,789,-0.04222222222222227,0.012390464904431409,0,-0.0990123456790124,0.012390464904431409
0.5,PimaDiabetes,101,0.0318518518518518,-0.230428789088007,0,-0.005555555555555536,-0.230428789088007
0.5,BloodTransfusion,42,-0.011208576998050723,-0.24302103250478008,0,-0.04678362573099415,-0.24302103250478008
0.5,BloodTransfusion,123,0.0,-0.2398130444019545,0,-0.0799220272904484,-0.2398130444019545
0.5,BloodTransfusion,456,0.015594541910331383,-0.1696282132993414,0,0.13255360623781676,-0.1696282132993414
0.5,BloodTransfusion,789,0.04239766081871349,-0.3561589122583387,0,0.09015594541910327,-0.3561589122583387
0.5,BloodTransfusion,101,-0.003898635477582846,-0.32084554918206926,0,0.11013645224171531,-0.32084554918206926
0.5,MAGIC04,42,0.15288319789471122,-0.4892514814814815,0,0.1988003427592116,-0.4892514814814815
0.5,MAGIC04,123,0.034539894491891876,-0.2562863888888889,0,0.0889224608811835,-0.2562863888888889
0.5,MAGIC04,456,-0.022957557150225183,-0.028453240740740737,0,0.05288401012033117,-0.028453240740740737
0.5,MAGIC04,789,0.15611585586244148,-0.47715851851851854,0,0.2256951636025455,-0.47715851851851854
0.5,MAGIC04,101,0.14862104395358944,-0.02390203703703697,0,0.1568752868171721,-0.02390203703703697
0.5,Banknote,42,0.08844584436967573,-0.09941595873786413,0,0.10321664638365913,-0.09941595873786413
0.5,Banknote,123,0.2283628033502756,-0.30986675768608407,0,0.2666976877371322,-0.30986675768608407
0.5,Banknote,456,0.26346433770014555,-0.0855759506472491,0,0.4001002219199655,-0.0855759506472491
0.5,Banknote,789,0.2967046078220822,-0.3260050060679612,0,0.25953897916815805,-0.3260050060679612
0.5,Banknote,101,0.14983177034862905,-0.18301223705501624,0,0.26346433770014555,-0.18301223705501624
0.5,Ionosphere,42,0.0673374613003096,-0.17479784366576812,0,0.09094427244582048,-0.17479784366576812
0.5,Ionosphere,123,-0.058049535603715174,-0.20071236041586443,0,-0.1339009287925697,-0.20071236041586443
0.5,Ionosphere,456,0.3092105263157895,-0.37268001540238743,0,0.3312693498452013,-0.37268001540238743
0.5,Ionosphere,789,0.15750773993808048,-0.34000770119368506,0,0.17066563467492263,-0.34000770119368506
0.5,Ionosphere,101,0.08552631578947367,-0.4500192529842125,0,0.04256965944272445,-0.4500192529842125
0.5,Sonar,42,-0.013184584178498993,-0.43316912972085386,0,-0.013184584178498993,-0.43316912972085386
0.5,Sonar,123,0.06389452332657208,-0.4876299945265463,0,0.13438133874239355,-0.4876299945265463
0.5,Sonar,456,0.09026369168356996,-0.48286808976464146,0,0.09026369168356996,-0.48286808976464146
0.5,Sonar,789,-0.02738336713995948,-0.485823754789272,0,-0.04716024340770797,-0.485823754789272
0.5,Sonar,101,0.019776876267748433,-0.49282977558839625,0,0.007606490872210936,-0.49282977558839625
0.5,Wine,42,0.2883597883597884,-0.3703703703703704,0,0.21640211640211643,-0.3703703703703704
0.5,Wine,123,-0.10370370370370369,-0.39038231780167265,0,0.2883597883597883,-0.39038231780167265
0.5,Wine,456,0.1518518518518518,-0.39038231780167265,0,0.1962962962962963,-0.39038231780167265
0.5,Wine,789,0.3433862433862433,-0.4347371565113501,0,0.06825396825396829,-0.4347371565113501
0.5,Wine,101,0.1428571428571429,-0.3412485065710873,0,0.11111111111111105,-0.3412485065710873
0.5,WisconsinOriginal,42,0.6305868838763575,-0.18755995509745893,0,0.7450918964076859,-0.18755995509745893
0.5,WisconsinOriginal,123,0.6863512949039264,-0.11572099193795282,0,0.679406850459482,-0.11572099193795282
0.5,WisconsinOriginal,456,0.37056182121971604,-0.07346157771201145,0,0.3882101086048454,-0.07346157771201145
0.5,WisconsinOriginal,789,0.16374269005847952,-0.17988570262271653,0,0.11685463659147866,-0.17988570262271653
0.5,WisconsinOriginal,101,0.7514619883040936,-0.06843555464843354,0,0.7679615705931495,-0.06843555464843354
0.5,Waveform,42,0.21369380238760477,-0.007245999999999975,0,0.2881741596816528,-0.007245999999999975
0.5,Waveform,123,0.1488707560748455,-0.03686088888888889,0,0.12994242655151977,-0.03686088888888889
0.5,Waveform,456,0.18544153754974174,-0.006074777777777818,0,0.3336085005503345,-0.006074777777777818
0.5,Waveform,789,0.2418825670984674,-0.2353743333333333,0,0.2758868851071035,-0.2353743333333333
0.5,Waveform,101,0.25708026416052837,-0.04012444444444441,0,0.10963296926593852,-0.04012444444444441
0.5,Vehicle,42,0.140625,-0.4484797297297297,0,-0.03076923076923077,-0.4484797297297297
0.5,Vehicle,123,0.0,-0.3879249574377527,0,0.0,-0.3879249574377527
0.5,Vehicle,456,0.0,-0.44477215896999367,0,-0.013281249999999994,-0.44477215896999367
0.5,Vehicle,789,0.0792067307692308,-0.3902326292828262,0,0.06772836538461535,-0.3902326292828262
0.5,Vehicle,101,0.11057692307692313,-0.4099276441796127,0,0.0038461538461538325,-0.4099276441796127
0.5,Segment,42,0.1976911976911977,-0.027734273559876677,0,0.3015873015873016,-0.027734273559876677
0.5,Segment,123,0.16017316017316016,-0.12647010791723223,0,0.1457431457431457,-0.12647010791723223
0.5,Segment,456,0.20634920634920634,-0.24255007000832607,0,0.34054834054834054,-0.24255007000832607
0.5,Segment,789,0.025974025974025983,-0.2928516546327308,0,0.22510822510822512,-0.2928516546327308
0.5,Segment,101,0.2972582972582972,-0.2534453109592255,0,0.18614718614718612,-0.2534453109592255
0.5,Spambase,42,0.0,-0.0906628047308713,0,0.0,-0.0906628047308713
0.5,Spambase,123,0.0,-0.2920062756456674,0,0.012040770609319074,-0.2920062756456674
0.5,Spambase,456,0.006836829713964432,-0.34871856142891633,0,0.006836829713964432,-0.34871856142891633
0.5,Spambase,789,0.008086478318926116,-0.25318476949070723,0,0.008086478318926116,-0.25318476949070723
0.5,Spambase,101,0.06951801778058891,-0.07232983345401883,0,0.06951801778058891,-0.07232983345401883
0.5,WineQuality,42,-0.01875892348226274,-0.08215965811965803,0,0.00808441915411795,-0.08215965811965803
0.5,WineQuality,123,0.051178277277844325,-0.338491452991453,0,0.061219145193980196,-0.338491452991453
0.5,WineQuality,456,0.009126020340973595,-0.14751692307692305,0,-0.015525989886006175,-0.14751692307692305
0.5,WineQuality,789,0.019628018508484862,-0.12526726495726492,0,-0.14423581574725627,-0.12526726495726492
0.5,WineQuality,101,0.08662852141393244,-0.39538854700854703,0,0.05319663070857568,-0.39538854700854703
1.0,BreastCancer,42,0.1602657710280374,-0.32995386288165984,0,0.30037967289719625,-0.32995386288165984
1.0,BreastCancer,123,0.4907272196261682,-0.4255487966146523,0,0.5469480140186915,-0.4255487966146523
1.0,BreastCancer,456,0.30001460280373826,-0.40005583472920153,0,0.171875,-0.40005583472920153
1.0,BreastCancer,789,-0.15011682242990654,-0.26243792059713766,0,-0.15639602803738317,-0.26243792059713766
1.0,BreastCancer,101,0.25029205607476634,-0.22388257074847928,0,0.3159316588785046,-0.22388257074847928
1.0,PimaDiabetes,42,-0.1241975308641976,-0.2545325562085339,0,-0.22197530864197534,-0.2545325562085339
1.0,PimaDiabetes,123,-0.0004938271604938427,-0.052415616661426745,0,0.14049382716049386,-0.052415616661426745
1.0,PimaDiabetes,456,0.25999999999999995,-0.17954484993591135,0,0.1714814814814814,-0.17954484993591135
1.0,PimaDiabetes,789,0.03320987654320984,-0.1920562367489742,0,0.09098765432098765,-0.1920562367489742
1.0,PimaDiabetes,101,0.021481481481481435,-0.21598265173684172,0,0.041358024691357964,-0.21598265173684172
1.0,BloodTransfusion,42,-0.011208576998050723,-0.09258551094115142,0,0.006335282651072083,-0.09258551094115142
1.0,BloodTransfusion,123,0.0,-0.24057361376673042,0,-0.09161793372319693,-0.24057361376673042
1.0,BloodTransfusion,456,0.015594541910331383,0.01772254089653702,0,0.01803118908382062,0.01772254089653702
1.0,BloodTransfusion,789,0.04239766081871349,-0.16122370936902486,0,0.07846003898635473,-0.16122370936902486
1.0,BloodTransfusion,101,0.010721247563352798,-0.1880433397068197,0,0.07894736842105254,-0.1880433397068197
1.0,MAGIC04,42,0.1322242392491787,-0.49149064814814813,0,0.19875567035010988,-0.49149064814814813
1.0,MAGIC04,123,0.12752957516538943,-0.34988287037037036,0,0.17205781421963384,-0.34988287037037036
1.0,MAGIC04,456,0.1312252017365384,-0.3577638888888889,0,0.12026218643014652,-0.3577638888888889
1.0,MAGIC04,789,0.18990038052770297,-0.37093777777777776,0,0.2373343567376146,-0.37093777777777776
