Dataset,Seed,sampling_mode,marginal_ks,marginal_wasserstein,correlation_mae,tstr_acc,trtr_acc,tstr_minus_trtr,bal_acc,mia_rf
PimaDiabetes,456,gaussian,0.5192521158175603,0.20777224842498557,0.15497526489002628,0.6622222222222223,0.751358024691358,-0.08913580246913577,0.6622222222222223,0.5182874233153563
PimaDiabetes,789,uniform,0.390828677839851,0.1894902764108049,0.16674488185535669,0.5450617283950617,0.7346913580246913,-0.1896296296296296,0.5450617283950617,0.510483929478343
PimaDiabetes,789,gaussian,0.4345903165735568,0.1621676856646511,0.18623233392117308,0.518641975308642,0.7346913580246913,-0.21604938271604934,0.518641975308642,0.5013099873435068
PimaDiabetes,101,uniform,0.4060138783801992,0.22034328587815794,0.17271488070246802,0.5379012345679012,0.7370370370370369,-0.19913580246913576,0.5379012345679012,0.5092344030891517
PimaDiabetes,101,gaussian,0.4960877443918146,0.20298046159045152,0.1854716911711323,0.6330864197530864,0.7370370370370369,-0.1039506172839505,0.6330864197530864,0.46495683087861855
BloodTransfusion,42,uniform,0.5167304015296367,0.28643446588310534,0.5507586510739564,0.4985380116959064,0.685672514619883,-0.1871345029239766,0.4985380116959064,0.5232887189292543
BloodTransfusion,42,gaussian,0.6395793499043977,0.2895883270944522,0.5828695626558886,0.4649122807017544,0.685672514619883,-0.2207602339181286,0.4649122807017544,0.5212492033142129
BloodTransfusion,123,uniform,0.49684164450598156,0.26272831957130743,0.4853079104552441,0.49707602339181284,0.6106237816764133,-0.11354775828460045,0.49707602339181284,0.5243977055449331
BloodTransfusion,123,gaussian,0.6261767140648924,0.27024101857549393,0.5332590280148998,0.5092592592592593,0.6106237816764133,-0.10136452241715399,0.5092592592592593,0.5144933078393881
BloodTransfusion,456,uniform,0.41449730042563165,0.2002454553310151,0.44607502290364276,0.5389863547758285,0.6442495126705653,-0.10526315789473684,0.5389863547758285,0.5031867431485022
BloodTransfusion,456,gaussian,0.5328628308535344,0.18383462174519696,0.44603686997784947,0.6145224171539961,0.6442495126705653,-0.029727095516569157,0.6145224171539961,0.5058678563841088
BloodTransfusion,789,uniform,0.513993694627297,0.2618232980367936,0.44847138901121797,0.5,0.692495126705653,-0.19249512670565305,0.5,0.46900786063309957
BloodTransfusion,789,gaussian,0.6899621239764716,0.2637422752360985,0.4735421747864667,0.5185185185185185,0.692495126705653,-0.17397660818713456,0.5185185185185185,0.524809857658806
BloodTransfusion,101,uniform,0.513591276382204,0.2890501159603273,0.5161129474322601,0.5155945419103314,0.6496101364522417,-0.13401559454191037,0.5155945419103314,0.47688973868706175
BloodTransfusion,101,gaussian,0.6395866757507161,0.2877309373999338,0.5110947913730572,0.49951267056530213,0.6496101364522417,-0.15009746588693962,0.49951267056530213,0.464333970681963
MAGIC04,42,uniform,0.49214285714285716,0.24111778456638486,0.2889183541123446,0.7158692641641995,0.769827442667024,-0.05395817850282447,0.7158692641641995,0.5005498677248678
MAGIC04,42,gaussian,0.5838333333333333,0.24184246530752862,0.305716587378788,0.7007476536832402,0.769827442667024,-0.06907978898378375,0.7007476536832402,0.4959179232804233
MAGIC04,123,uniform,0.43947619047619046,0.22742994719882534,0.2856712539365374,0.7381201850249963,0.7653155293477423,-0.02719534432274595,0.7381201850249963,0.4889585978835979
